x,y
2.045112781954887271e-02,2.209453027414370885e-01
2.085213032581453851e-02,2.212045035083464728e-01
2.125313283208020085e-02,2.214639153212872857e-01
2.165413533834586665e-02,2.217235384381209540e-01
2.205513784461152899e-02,2.219833731171289570e-01
2.245614035087719479e-02,2.222434196170140763e-01
2.285714285714285712e-02,2.225036781969008948e-01
2.325814536340852293e-02,2.227641491163369347e-01
2.365914786967418526e-02,2.230248326352933241e-01
2.406015037593985106e-02,2.232857290141657958e-01
2.446115288220551340e-02,2.235468385137755198e-01
2.486215538847117920e-02,2.238081613953699645e-01
2.526315789473684154e-02,2.240696979206236450e-01
2.566416040100250734e-02,2.243314483516392621e-01
2.606516290726817314e-02,2.245934129509483679e-01
2.646616541353383548e-02,2.248555919815123372e-01
2.686716791979950128e-02,2.251179857067231171e-01
2.726817042606516361e-02,2.253805943904043374e-01
2.766917293233082942e-02,2.256434182968119762e-01
2.807017543859649175e-02,2.259064576906354149e-01
2.847117794486215756e-02,2.261697128369981324e-01
2.887218045112781989e-02,2.264331840014587871e-01
2.927318295739348569e-02,2.266968714500120219e-01
2.967418546365914803e-02,2.269607754490893803e-01
3.007518796992481383e-02,2.272248962655601667e-01
3.047619047619047616e-02,2.274892341667323903e-01
3.087719298245614197e-02,2.277537894203536528e-01
3.127819548872180777e-02,2.280185622946120094e-01
3.167919799498746664e-02,2.282835530581370231e-01
3.208020050125313244e-02,2.285487619800004033e-01
3.248120300751879824e-02,2.288141893297172269e-01
3.288220551378446405e-02,2.290798353772466045e-01
3.328320802005012985e-02,2.293457003929927629e-01
3.368421052631578871e-02,2.296117846478057944e-01
3.408521303258145452e-02,2.298780884129827951e-01
3.448621553884712032e-02,2.301446119602685858e-01
3.488721804511278612e-02,2.304113555618567954e-01
3.528822055137844499e-02,2.306783194903906098e-01
3.568922305764411079e-02,2.309455040189638264e-01
3.609022556390977660e-02,2.312129094211218538e-01
3.649122807017544240e-02,2.314805359708624610e-01
3.689223057644110126e-02,2.317483839426367764e-01
3.729323308270676707e-02,2.320164536113503151e-01
3.769423558897243287e-02,2.322847452523638390e-01
3.809523809523809867e-02,2.325532591414944672e-01
3.849624060150376448e-02,2.328219955550161202e-01
3.889724310776942334e-02,2.330909547696611017e-01
3.929824561403508915e-02,2.333601370626206539e-01
3.969924812030075495e-02,2.336295427115461787e-01
4.010025062656642075e-02,2.338991719945498204e-01
4.050125313283207962e-02,2.341690251902057707e-01
4.090225563909774542e-02,2.344391025775509896e-01
4.130325814536341122e-02,2.347094044360864273e-01
4.170426065162907703e-02,2.349799310457776902e-01
4.210526315789473589e-02,2.352506826870562617e-01
