Temperature(K)	dR1	dR2
100	21.40084586959023	0.2590062328415249
120	21.06071522322572	0.25460971607907895
140	20.925181480224467	0.27075985142518894
15	16.47959123108353	0.10749235797924445
15	16.474670089934584	0.1432890883131706
160	21.01651954022645	0.24899939415909872
160	20.99988351474408	0.29192662378019046
160	21.00604732236681	0.27517326490395366
180	21.061789064686018	0.24092744975909125
200	21.250962210353585	0.28090792753337906
20	18.12908257596775	0.1713883665686244
20	18.169299732636556	0.11586156297100811
220	21.441449087130312	0.29592762691545665
240	21.631554564604563	0.2941545410438499
25	19.440234240518205	0.18174968008426678
260	21.78977820496145	0.28440248816523184
280	22.114331072083974	0.31659263283481426
300	22.22441593071996	0.31458963506039955
30	20.668850584277617	0.22635724337676152
35	21.460313645545682	0.24278522110847428
40	22.075580337738785	0.2478659924821596
45	22.356494028593254	0.25401405976145014
50	22.492118570153576	0.2920792234823305
50	5.162141170361317	0.07849719760249764
60	22.474904715480694	0.2853089525879141
70	22.263133938095347	0.2960545414226391
80	21.905851625813842	0.27322093888903703
90	21.543103436112457	0.17505396220580127
90	21.68988994060362	0.29389790246952485
